   Pos X,   Pos Y,OffsetX(um),OffsetY(um),Height(um),Area(um2),Volume(um3), Area(%),Volume(%),  Result,Component ID,  PCB ID,    Time, PrintNo: 1  ID(1)
174.255,83.038,43.093,27.347,108.322,107313,11624380,93.62,79.852,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
186.167,83.038,61.97,23.2,104.569,112922,11808160,98.514,81.114,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
180.211,83.774,51.841,23.866,94.459,109728,10364840,95.727,71.199,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
198.08,83.038,56.681,27.764,98.614,115727,11412290,100.96,78.395,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
192.124,83.774,44.156,24.056,94.738,114989,10893820,100.317,74.833,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
198.08,89.642,46.112,27.597,97.032,112754,10940770,98.367,75.156,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
186.167,89.642,47.596,27.422,94.054,115811,10892460,101.034,74.824,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
192.124,90.378,61.089,32.972,107.764,113346,12214640,98.884,83.906,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
180.211,90.378,57.491,31.849,113.63,112241,12753910,97.919,87.611,              GOOD,  B1_PTF_D,1,4/2/2024 15:16,
174.255,89.642,32.533,25.196,101.076,105567,10670280,92.097,73.298,        W.Insuffi.,  B1_PTF_D,1,4/2/2024 15:16,
180.211,44.023,71.837,17.047,103.325,116818,12070130,101.912,82.914,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
174.255,43.287,38.53,18.316,98.753,106506,10517770,92.916,72.25,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
192.124,44.023,64.01,20.174,107.105,117206,12553290,102.251,86.233,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
186.167,43.287,57.544,9.138,94.166,111410,10491060,97.194,72.066,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
198.08,43.287,50.854,15.263,95.42,111575,10646490,97.338,73.134,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
192.124,37.419,52.208,31.636,94.962,110414,10485160,96.326,72.026,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
198.08,36.683,59.697,37.904,105.842,116255,12304640,101.421,84.525,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
180.211,37.419,53.529,35.489,94.812,111965,10615620,97.678,72.922,        W.Insuffi.,  B1_PTF_C,1,4/2/2024 15:16,
186.167,36.683,63.269,38.622,103.161,114351,11796590,99.76,81.035,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
174.255,36.683,69.132,37.941,105.415,112076,11814490,97.775,81.158,              GOOD,  B1_PTF_C,1,4/2/2024 15:16,
192.675,75.38,59.212,23.273,102.751,109791,11281130,95.782,77.494,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
192.675,63.467,60.357,32.345,102.153,113108,11554360,98.676,79.371,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
193.411,69.423,45.62,11.312,93.678,109504,10258150,95.532,70.467,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
192.675,51.554,64.081,25.15,99.304,115804,11499830,101.028,78.996,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
193.411,57.511,52.667,26.591,90.254,116214,10488790,101.385,72.051,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
199.279,51.554,52.889,19.818,97.072,113691,11036250,99.185,75.812,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
199.279,63.467,45.481,26.604,98.103,111252,10914200,97.057,74.973,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
200.015,57.511,60.901,24.505,104.734,115552,12102210,100.808,83.134,              GOOD,  B1_PTF_A,1,4/2/2024 15:16,
200.015,69.423,58.544,19.58,103.316,113193,11694650,98.75,80.334,              GOOD,  B1_PTF_A,1,4/2/2024 15:16,
199.279,75.38,46.057,22.763,89.738,117732,10565040,102.71,72.575,        W.Insuffi.,  B1_PTF_A,1,4/2/2024 15:16,
179.695,69.423,62.091,15.686,100.932,112290,11333650,97.962,77.855,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
178.959,75.38,53.101,16.171,91.09,113648,10352170,99.147,71.112,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
179.695,57.511,66.611,26.937,107.663,112181,12077690,97.867,82.966,              GOOD,  B1_PTF_B,1,4/2/2024 15:16,
178.959,63.467,35.642,28.516,94.228,108595,10232690,94.738,70.292,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
178.959,51.554,35.644,27.249,89.316,114115,10192280,99.554,70.014,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
173.091,57.511,36.695,29.019,95.054,109524,10410690,95.549,71.514,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
172.355,51.554,55.198,31.88,103.854,113617,11799510,99.119,81.055,              GOOD,  B1_PTF_B,1,4/2/2024 15:16,
173.091,69.423,31.312,13.847,93.863,109824,10308400,95.811,70.812,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
172.355,63.467,51.771,32.394,103.594,113408,11748370,98.938,80.703,              GOOD,  B1_PTF_B,1,4/2/2024 15:16,
172.355,75.38,45.578,16.972,101.082,108016,10918460,94.234,75.002,        W.Insuffi.,  B1_PTF_B,1,4/2/2024 15:16,
104.255,83.038,29.755,27.892,123.51,108113,13353120,94.319,91.727,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
116.167,83.038,38.536,24.759,111.839,107511,12023830,93.793,82.596,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
110.211,83.774,33.594,27.462,103.26,107481,11098430,93.767,76.239,        W.Insuffi.,  B2_PTF_D,1,4/2/2024 15:16,
128.08,83.038,30.857,25.244,114.13,110780,12643330,96.645,86.851,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
122.124,83.774,29.393,26.816,105.712,115542,12214120,100.799,83.903,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
128.08,89.642,24.075,28.924,103.778,108630,11273380,94.769,77.441,        W.Insuffi.,  B2_PTF_D,1,4/2/2024 15:16,
116.167,89.642,31.326,28.782,102.493,109858,11259610,95.84,77.346,        W.Insuffi.,  B2_PTF_D,1,4/2/2024 15:16,
122.124,90.378,32.52,28.758,117.605,111666,13132440,97.418,90.211,              GOOD,  B2_PTF_D,1,4/2/2024 15:16,
